source,target,relation,source_label,target_label
prof::Appius Aemilius Agricola,ent::location::Mexico City,located_in,Appius Aemilius Agricola,Mexico City
prof::Appius Aemilius Agricola,ent::location::Spain,located_in,Appius Aemilius Agricola,Spain
prof::Appius Aemilius Agricola,ent::location::U. K.,located_in,Appius Aemilius Agricola,U. K.
prof::Appius Aemilius Agricola,ent::corporate_org::##Ixi,worked_at,Appius Aemilius Agricola,##Ixi
prof::Appius Aemilius Agricola,ent::corporate_org::A & M Studio,worked_at,Appius Aemilius Agricola,A & M Studio
prof::Appius Aemilius Agricola,ent::corporate_org::Becquerel Capital,worked_at,Appius Aemilius Agricola,Becquerel Capital
prof::Appius Aemilius Agricola,ent::corporate_org::The Hub,worked_at,Appius Aemilius Agricola,The Hub
prof::Appius Aemilius Agricola,ent::academic_org::Camberwell College Of Arts Ual,studied_at,Appius Aemilius Agricola,Camberwell College Of Arts Ual
prof::Appius Aemilius Agricola,ent::location::Hong Kong,worked_in,Appius Aemilius Agricola,Hong Kong
prof::Appius Aemilius Agricola,ent::location::Mexico,worked_in,Appius Aemilius Agricola,Mexico
prof::Appius Aemilius Agricola,ent::location::Vidiv,worked_in,Appius Aemilius Agricola,Vidiv
ent::location::Spain,prof::Appius Aemilius Cicero,located_in,Spain,Appius Aemilius Cicero
ent::location::Spain,prof::Appius Aemilius Crassus,located_in,Spain,Appius Aemilius Crassus
ent::location::Spain,prof::Flavia Prisca,located_in,Spain,Flavia Prisca
ent::location::Spain,prof::Appius Aemilius Scipio,located_in,Spain,Appius Aemilius Scipio
ent::location::Spain,prof::Appius Aemilius Severus,located_in,Spain,Appius Aemilius Severus
ent::location::Spain,prof::Appius Antonius Lepidus,located_in,Spain,Appius Antonius Lepidus
ent::location::Spain,prof::Appius Calpurnius Paullus,located_in,Spain,Appius Calpurnius Paullus
ent::location::Spain,prof::Appius Calpurnius Severus,located_in,Spain,Appius Calpurnius Severus
ent::location::Spain,prof::Appius Claudius Caesar,located_in,Spain,Appius Claudius Caesar
ent::location::Spain,prof::Appius Claudius Scipio,located_in,Spain,Appius Claudius Scipio
ent::location::Spain,prof::Claudia Drusa,located_in,Spain,Claudia Drusa
ent::location::Spain,prof::Appius Cornelius Cicero,located_in,Spain,Appius Cornelius Cicero
ent::location::Spain,prof::Antonia Severa,located_in,Spain,Antonia Severa
ent::location::Spain,prof::Appius Cornelius Lepidus,located_in,Spain,Appius Cornelius Lepidus
ent::location::Spain,prof::Appius Domitius Brutus,located_in,Spain,Appius Domitius Brutus
ent::location::Spain,prof::Appius Domitius Flaccus,located_in,Spain,Appius Domitius Flaccus
ent::location::Spain,prof::Appius Fabius Drusus,located_in,Spain,Appius Fabius Drusus
ent::location::Spain,prof::Appius Flavius Caesar,located_in,Spain,Appius Flavius Caesar
ent::location::Spain,prof::Appius Flavius Drusus,located_in,Spain,Appius Flavius Drusus
ent::location::Spain,prof::Appius Flavius Flaccus,located_in,Spain,Appius Flavius Flaccus
ent::location::Spain,prof::Appius Flavius Rufus,located_in,Spain,Appius Flavius Rufus
ent::location::Spain,prof::Horatia Minor,located_in,Spain,Horatia Minor
ent::location::Spain,prof::Appius Horatius Brutus,located_in,Spain,Appius Horatius Brutus
ent::location::Spain,prof::Appius Horatius Drusus,located_in,Spain,Appius Horatius Drusus
ent::location::Spain,prof::Appius Horatius Naso,located_in,Spain,Appius Horatius Naso
ent::location::Spain,prof::Appius Horatius Paullus,located_in,Spain,Appius Horatius Paullus
ent::location::Spain,prof::Appius Horatius Severus,located_in,Spain,Appius Horatius Severus
ent::location::Spain,prof::Appius Horatius Sulla,located_in,Spain,Appius Horatius Sulla
ent::location::Spain,prof::Appius Julius Crassus,located_in,Spain,Appius Julius Crassus
ent::location::Spain,prof::Appius Julius Paullus,located_in,Spain,Appius Julius Paullus
ent::location::Spain,prof::Antonia Drusa,located_in,Spain,Antonia Drusa
ent::location::Spain,prof::Horatia Pulchra,located_in,Spain,Horatia Pulchra
ent::location::Spain,prof::Appius Licinius Naso,located_in,Spain,Appius Licinius Naso
ent::location::Spain,prof::Appius Licinius Paullus,located_in,Spain,Appius Licinius Paullus
ent::location::Spain,prof::Appius Licinius Scipio,located_in,Spain,Appius Licinius Scipio
ent::location::Spain,prof::Appius Licinius Brutus,located_in,Spain,Appius Licinius Brutus
ent::location::Spain,prof::Appius Horatius Ahenobarbus,worked_in,Spain,Appius Horatius Ahenobarbus
ent::location::Spain,prof::Appius Licinius Drusus,worked_in,Spain,Appius Licinius Drusus
prof::Appius Aemilius Cicero,ent::location::Cornell,located_in,Appius Aemilius Cicero,Cornell
prof::Appius Aemilius Cicero,ent::location::Stanford,located_in,Appius Aemilius Cicero,Stanford
prof::Appius Aemilius Cicero,ent::location::Us,located_in,Appius Aemilius Cicero,Us
prof::Appius Aemilius Cicero,ent::location::Usa,located_in,Appius Aemilius Cicero,Usa
prof::Appius Aemilius Cicero,ent::location::Villanova,located_in,Appius Aemilius Cicero,Villanova
prof::Appius Aemilius Cicero,ent::corporate_org::##A,worked_at,Appius Aemilius Cicero,##A
